"","title","Author","Affiliation","Country","Zone","paper_zone","paper_country","Year","Journal","journals_2","field","bio_monet","main_method","biodiv_objective","partial_general","...16","biodiv_measure","biodiv_direct","biodiv_functional_historical","biodiv_indicator_level","biodiv_indicator_use","biodiv_proxy","...23","species_2","species","biodiv_type","ess_binary","ess_type","ess_measure","paper_empirical","method_static","method_resolution","method_spatial","spatial_ecology","spatial_economy","positive_normative","comments","affiliation_class","FLAG","keywords","keywords2","ecological_model","stoch_ecol","stoch_econ","habitat2","biodiv_type2","id_unique_author","last_names_author"
"70","Species preservation and biodiversity value: a real options approach","Ilhem Kassara","CIRANO, rue University, 25e`me e`tage, Montre´al, Q","Canada","North America","North America","Canada",2004,"Journal of Environmental Economics and Management","Economics","Economics","Yes","CBA","Constraint","Partial",NA,NA,"Directly","Functional","Species","Evolution of services and functions","No",NA,NA,"Multiple","Not specified",0,"0","0","Theoretical","Dynamic","Both","Ecological absent and economic absent","Absent","Absent","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)","Thématique","Extinction","Extinction","Other","No","Yes","Not applicable","Not applicable",57,"kassara"
"71","Species preservation and biodiversity value: a real options approach","Pierre Lasserre","Science économiques, Université du Québec à Montréal, Montreal, Qc., Canada H3C 3P8","Canada","North America","North America","Canada",2004,"Journal of Environmental Economics and Management","Economics","Economics","Yes","CBA","Constraint","Partial",NA,NA,"Directly","Functional","Species","Evolution of services and functions","No",NA,NA,"Multiple","Not specified",0,"0","0","Theoretical","Dynamic","Both","Ecological absent and economic absent","Absent","Absent","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)","Thématique","Extinction","Extinction","Other","No","Yes","Not applicable","Not applicable",58,"lasserre"
"72","Conserving species in a working landscape : land use with biological and economic objectives","Stephen Polasky","U Minnesota (Applied Economics and Ecology)","USA","North America","North America","USA",2005,"Ecological Applications","Ecology","Ecology","No","Cost_eff","Objective","Partial",NA,"Expected number of species","Directly","Functional","Species","Evolution of structure","No",NA,"Multiple species (explicit)","Multiple","Large_set - not known - not known - Terrestrial vertebrates",0,"0","0","Empirical","Static","Numerical","Ecological explicit and economic implicit","Explicit","Implicit","Positive",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Conservation","Conservation","Population dynamics","Yes","No","Multiple : managed forest, agriculture, park","Common",44,"polasky"
"73","Conserving species in a working landscape : land use with biological and economic objectives","Erik Nelson","U Minnesota, Applied Econ","USA","North America",NA,NA,2005,"Ecological Applications","Ecology","Ecology","No","Cost_eff","Objective","Partial",NA,"Expected number of species","Directly","Functional","Species","Evolution of structure","No",NA,"Multiple species (explicit)","Multiple","Large_set - not known - not known - Terrestrial vertebrates",0,"0","0","Empirical","Static","Numerical","Ecological explicit and economic implicit","Explicit","Implicit","Positive",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Conservation","Conservation","Population dynamics","Yes","No","Multiple : managed forest, agriculture, park","Common",59,"nelson"
"74","Conserving species in a working landscape : land use with biological and economic objectives","Eric Lonsdorf","U Minnesota, Ecology","USA","North America",NA,NA,2005,"Ecological Applications","Ecology","Ecology","No","Cost_eff","Objective","Partial",NA,"Expected number of species","Directly","Functional","Species","Evolution of structure","No",NA,"Multiple species (explicit)","Multiple","Large_set - not known - not known - Terrestrial vertebrates",0,"0","0","Empirical","Static","Numerical","Ecological explicit and economic implicit","Explicit","Implicit","Positive",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Conservation","Conservation","Population dynamics","Yes","No","Multiple : managed forest, agriculture, park","Common",60,"lonsdorf"
"75","Conserving species in a working landscape : land use with biological and economic objectives","Paul Fackler","North Carolina State University, ARE","USA","North America",NA,NA,2005,"Ecological Applications","Ecology","Ecology","No","Cost_eff","Objective","Partial",NA,"Expected number of species","Directly","Functional","Species","Evolution of structure","No",NA,"Multiple species (explicit)","Multiple","Large_set - not known - not known - Terrestrial vertebrates",0,"0","0","Empirical","Static","Numerical","Ecological explicit and economic implicit","Explicit","Implicit","Positive",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Conservation","Conservation","Population dynamics","Yes","No","Multiple : managed forest, agriculture, park","Common",61,"fackler"
"76","Conserving species in a working landscape : land use with biological and economic objectives","Anthony Starfield","U Minnesota, Ecology","USA","North America",NA,NA,2005,"Ecological Applications","Ecology","Ecology","No","Cost_eff","Objective","Partial",NA,"Expected number of species","Directly","Functional","Species","Evolution of structure","No",NA,"Multiple species (explicit)","Multiple","Large_set - not known - not known - Terrestrial vertebrates",0,"0","0","Empirical","Static","Numerical","Ecological explicit and economic implicit","Explicit","Implicit","Positive",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Conservation","Conservation","Population dynamics","Yes","No","Multiple : managed forest, agriculture, park","Common",62,"starfield"
"77","Extending Weitzman's economic ranking of biodiversity protection: combining ecological and genetic considerations","C Martjin Van der Heide","Agricultural Economics Research Institute (LEI), Public Issues Division, P.O. Box 29703, 2502 LS, The Hague, The Netherlands","Netherlands","Europe","Europe","Netherlands",2005,"Ecological Economics","Economics","Economics","No","Cost_eff","Objective","Partial",NA,"“three species : 1 predator and 2 preys”","Directly","Genetic","Species","Evolution of structure","No",NA,"Multiple species (explicit)","Multiple","Not specified",0,"0","0","Theoretical","Static","Closed form","Ecological absent and economic absent","Absent","Absent","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Conservation","Conservation","Other","Yes","No","Not applicable","Not applicable",63,"heide"
"78","Extending Weitzman's economic ranking of biodiversity protection: combining ecological and genetic considerations","Jeroen Van den Bergh","Faculty of Economics and Business Administration and Institute for Environmental Studies, Free University, De Boelelaan 1105, 1081 HV Amsterdam, The Netherlands","Netherlands","Europe","Europe","Netherlands",2005,"Ecological Economics","Economics","Economics","No","Cost_eff","Objective","Partial",NA,"“three species : 1 predator and 2 preys”","Directly","Genetic","Species","Evolution of structure","No",NA,"Multiple species (explicit)","Multiple","Not specified",0,"0","0","Theoretical","Static","Closed form","Ecological absent and economic absent","Absent","Absent","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Conservation","Conservation","Other","Yes","No","Not applicable","Not applicable",55,"bergh"
"79","Extending Weitzman's economic ranking of biodiversity protection: combining ecological and genetic considerations","Ekko C van Ierland","Environmental Economics and Natural Resources Group, Wageningen University, P.O. Box 8130, 6700 EW Wageningen, The Netherlands","Netherlands","Europe","Europe","Netherlands",2005,"Ecological Economics","Economics","Economics","No","Cost_eff","Objective","Partial",NA,"“three species : 1 predator and 2 preys”","Directly","Genetic","Species","Evolution of structure","No",NA,"Multiple species (explicit)","Multiple","Not specified",0,"0","0","Theoretical","Static","Closed form","Ecological absent and economic absent","Absent","Absent","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Conservation","Conservation","Other","Yes","No","Not applicable","Not applicable",64,"ierland"
"80","Spatially Uniform versus Spatially Heterogeneous Compensation Payments for Biodiversity-Enhancing Land-Use Measures","Martin Drechsler","Department of E.E.E.S., Research Leipzig-Halle, UFZ Centre For Environmental, P.O. Box 500135, 04301 Leipzig, Germany","Germany","Europe","Europe","Germany",2005,"Environmental and Resource Economics","Economics","Economics","Yes","Cost_eff","Objective","Partial",NA,NA,"Indirectly","Functional","Species","Evolution of structure","Habitat",NA,NA,"Single","Not specified",0,"0","0","Theoretical","Static","Numerical","Ecological explicit and economic explicit","Explicit","Explicit","Normative",NA,"Ecology and Economics","Ok","Conservation","Conservation","Other","No","No","Agriculture","remarkable_endangered",3,"drechsler"
"81","Spatially Uniform versus Spatially Heterogeneous Compensation Payments for Biodiversity-Enhancing Land-Use Measures","Frank Wätzold","Department of E.E.E.S., Research Leipzig-Halle, UFZ Centre For Environmental, P.O. Box 500135, 04301 Leipzig, Germany","Germany","Europe","Europe","Germany",2005,"Environmental and Resource Economics","Economics","Economics","Yes","Cost_eff","Objective","Partial",NA,NA,"Indirectly","Functional","Species","Evolution of structure","Habitat",NA,NA,"Single","Not specified",0,"0","0","Theoretical","Static","Numerical","Ecological explicit and economic explicit","Explicit","Explicit","Normative",NA,"Ecology and Economics","Ok","Conservation","Conservation","Other","No","No","Agriculture","remarkable_endangered",5,"wätzold"
"82","A model-based approach for designing cost-effective compensation payments for conservation of endangered species in real landscapes","Martin Drechsler","Department of Ecological Modelling, UFZ-Centre for Environmental Research Leipzig-Halle GmbH, Germany","Germany","Europe","Europe","Germany",2007,"Biological Conservation","Ecology","Ecology","No","Cost_eff","Objective","Partial",NA,"With habitat","Indirectly","Functional","Population","Evolution of structure","Habitat",NA,"Single species","Single","Animal - Insecta - Lepidoptera - Butterfly",0,"0","0","Empirical","Static","Closed form","Ecological explicit and economic implicit","Explicit","Implicit","Normative",NA,"Sustainable sciences (environmental science, engineering)","Ok","Conservation","Conservation","Population dynamics","Yes","No","Agriculture","remarkable_endangered",3,"drechsler"
"83","A model-based approach for designing cost-effective compensation payments for conservation of endangered species in real landscapes","Frank Wätzold","Department of Economics, UFZ-Centre for Environmental Research Leipzig-Halle GmbH, Germany","Germany","Europe","Europe","Germany",2007,"Biological Conservation","Ecology","Ecology","No","Cost_eff","Objective","Partial",NA,"With habitat","Indirectly","Functional","Population","Evolution of structure","Habitat",NA,"Single species","Single","Animal - Insecta - Lepidoptera - Butterfly",0,"0","0","Empirical","Static","Closed form","Ecological explicit and economic implicit","Explicit","Implicit","Normative",NA,"Sustainable sciences (environmental science, engineering)","Ok","Conservation","Conservation","Population dynamics","Yes","No","Agriculture","remarkable_endangered",5,"wätzold"
"84","A model-based approach for designing cost-effective compensation payments for conservation of endangered species in real landscapes","Karin Johst","Department of Ecological Modelling, UFZ-Centre for Environmental Research Leipzig-Halle GmbH, Germany","Germany","Europe","Europe","Germany",2007,"Biological Conservation","Ecology","Ecology","No","Cost_eff","Objective","Partial",NA,"With habitat","Indirectly","Functional","Population","Evolution of structure","Habitat",NA,"Single species","Single","Animal - Insecta - Lepidoptera - Butterfly",0,"0","0","Empirical","Static","Closed form","Ecological explicit and economic implicit","Explicit","Implicit","Normative",NA,"Sustainable sciences (environmental science, engineering)","Ok","Conservation","Conservation","Population dynamics","Yes","No","Agriculture","remarkable_endangered",65,"johst"
"85","A model-based approach for designing cost-effective compensation payments for conservation of endangered species in real landscapes","Holger Bergmann","Institute for Agro-Economics, University of Göttingen, Germany","Germany","Europe","Europe","Germany",2007,"Biological Conservation","Ecology","Ecology","No","Cost_eff","Objective","Partial",NA,"With habitat","Indirectly","Functional","Population","Evolution of structure","Habitat",NA,"Single species","Single","Animal - Insecta - Lepidoptera - Butterfly",0,"0","0","Empirical","Static","Closed form","Ecological explicit and economic implicit","Explicit","Implicit","Normative",NA,"Sustainable sciences (environmental science, engineering)","Ok","Conservation","Conservation","Population dynamics","Yes","No","Agriculture","remarkable_endangered",66,"bergmann"
"86","A model-based approach for designing cost-effective compensation payments for conservation of endangered species in real landscapes","Josef Settele","Department of Community Ecology, UFZ-Centre for Environmental Research Leipzig-Halle GmbH, Germany","Germany","Europe","Europe","Germany",2007,"Biological Conservation","Ecology","Ecology","No","Cost_eff","Objective","Partial",NA,"With habitat","Indirectly","Functional","Population","Evolution of structure","Habitat",NA,"Single species","Single","Animal - Insecta - Lepidoptera - Butterfly",0,"0","0","Empirical","Static","Closed form","Ecological explicit and economic implicit","Explicit","Implicit","Normative",NA,"Sustainable sciences (environmental science, engineering)","Ok","Conservation","Conservation","Population dynamics","Yes","No","Agriculture","remarkable_endangered",67,"settele"
"87","Alternative targets and economic efficiency of selecting protected areas for biodiversity conservation in boreal forest","Artti Juutinen","Department of Economics, University of Oulu","Finland","Europe","Europe","Finland",2007,"Environmental and Resource Economics","Economics","Economics","No","Cost_eff","Objective","Partial",NA,"Trees","Directly","Functional","Community","Evolution of structure","No",NA,NA,"Multiple","Large_set - not known - not known - Forest, plant, fungi, insects",0,"0","0","Empirical","Static","Numerical","Ecological implicit and economic absent","Implicit","Absent","Positive",NA,"Ecology and Economics","Ok","Conservation","Conservation","Other","No","No","Forest","Common & remarkable_endangered",68,"juutinen"
"88","Alternative targets and economic efficiency of selecting protected areas for biodiversity conservation in boreal forest","Miko Mönkönnen","Department of Biological and Environmental Science, University of Jyva¨skyla¨, Jyva¨skyla¨, Finland","Finland","Europe","Europe","Finland",2007,"Environmental and Resource Economics","Economics","Economics","No","Cost_eff","Objective","Partial",NA,"Trees","Directly","Functional","Community","Evolution of structure","No",NA,NA,"Multiple","Large_set - not known - not known - Forest, plant, fungi, insects",0,"0","0","Empirical","Static","Numerical","Ecological implicit and economic absent","Implicit","Absent","Positive",NA,"Ecology and Economics","Ok","Conservation","Conservation","Other","No","No","Forest","Common & remarkable_endangered",69,"mönkönnen"
"89","Biodiversity conservation and productivity in intensive agricultural systems","U Pascual","Department of Land Economy, University of Cambridge, 19 Silver Street, Cambridge CB3 9EP, UK","UK","Europe","Europe","UK",2007,"Journal of Agricultural Economics","Economics","Economics","No","Cost_eff","Constraint","Partial",NA,"Index","Directly","Functional","Species","Evolution of services and functions","No",NA,NA,"Multiple","Plant",0,"0","0","Theoretical & empirical","Dynamic","Both","Ecological absent and economic implicit","Absent","Implicit","Positive",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Conservation","Conservation","Population dynamics","No","No","Agriculture","Common",70,"pascual"
"90","Biodiversity conservation and productivity in intensive agricultural systems","A. Omer","Department of Economics, University of Manchester, Manchester, UK","UK","Europe","Europe","UK",2007,"Journal of Agricultural Economics","Economics","Economics","No","Cost_eff","Constraint","Partial",NA,"Index","Directly","Functional","Species","Evolution of services and functions","No",NA,NA,"Multiple","Plant",0,"0","0","Theoretical & empirical","Dynamic","Both","Ecological absent and economic implicit","Absent","Implicit","Positive",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Conservation","Conservation","Population dynamics","No","No","Agriculture","Common",71,"omer"
"91","The optimal dynamic allocation of conservation funds under financial uncertainty","Martin Drechsler","Department of Ecological Modelling, UFZ-Centre for Environmental Research, Permoserstr. 15, 04318 Leipzig, Germany","Germany","Europe","Europe","Germany",2007,"Ecological Economics","Economics","Economics","No","Cost_eff","Objective","Partial",NA,"Probability of survival","Directly","Functional","Population","Evolution of structure","No",NA,NA,"Single","Not specified",0,"0","0","Theoretical","Dynamic","Both","Ecological absent and economic absent","Absent","Absent","Normative",NA,"Ecology and Economics","Ok","Conservation","Conservation","Other","Yes","Yes","Not applicable","Not applicable",3,"drechsler"
"92","The optimal dynamic allocation of conservation funds under financial uncertainty","Frank Wätzold","Department of Economics, UFZ-Centre for Environmental Research, Permoserstr. 15, 04318 Leipzig, Germany","Germany","Europe","Europe","Germany",2007,"Ecological Economics","Economics","Economics","No","Cost_eff","Objective","Partial",NA,"Probability of survival","Directly","Functional","Population","Evolution of structure","No",NA,NA,"Single","Not specified",0,"0","0","Theoretical","Dynamic","Both","Ecological absent and economic absent","Absent","Absent","Normative",NA,"Ecology and Economics","Ok","Conservation","Conservation","Other","Yes","Yes","Not applicable","Not applicable",5,"wätzold"
"93","BIODIVERSITY AND GEOGRAPHY","MICHAEL RAUSCHER","Faculty of Economics University of Rostock Ulmenstr. 69 18051 Rostock Germany","Germany","Europe","Mixed : America Europe","Germany & USA",2010,"Resource and Energy Economics","Economics","Economics","Yes","CBA","Objective","General",NA,"species richness","Directly","Functional and genetic","Species","Evolution of services and functions","No",NA,NA,"Multiple","Not specified",0,"0","0","Theoretical","Static","Closed form","Ecological absent and economic explicit","Implicit","Explicit","Normative","Spatial dimension is economic, not ecological","Economics (full, applied, agricultural, environmental, ecological)","Ok","Extinction","Extinction","Population dynamics","No","No","Urban","Common",72,"rauscher"
"94","BIODIVERSITY AND GEOGRAPHY","Edward Barbier","Department of Economics and Finance University of Wyoming Department 3985 Ross Hall 123 Laramie, WY 82071 USA","USA","North America","Mixed : America Europe","Germany & USA",2010,"Resource and Energy Economics","Economics","Economics","Yes","CBA","Objective","General",NA,"species richness","Directly","Functional and genetic","Species","Evolution of services and functions","No",NA,NA,"Multiple","Not specified",0,"0","0","Theoretical","Static","Closed form","Ecological absent and economic explicit","Implicit","Explicit","Normative","Spatial dimension is economic, not ecological","Economics (full, applied, agricultural, environmental, ecological)","Ok","Extinction","Extinction","Population dynamics","No","No","Urban","Common",20,"barbier"
"95","Biodiversity value and the optimal location of forest conservation sites in Southern Finland","A. Maarit I. Kallio","Finnish Forest Research Institute,","Finland","Europe","Europe","Finland",2008,"Ecological Economics","Economics","Economics","Yes","Cost_eff","Constraint","General",NA,"Habitat quality indices","Indirectly","Functional","Population","Evolution of services and functions","Habitat",NA,"Multiple species (explicit)","Multiple","Forest",0,"0","0","Empirical","Dynamic","Numerical","Ecological implicit and economic explicit","Implicit","Explicit","Normative",NA,"Ecology (full, zoology, fisheries and wildlife, forestry)","Ok","Conservation","Conservation","Population dynamics","No","No","Park_reserve","Common",73,"kallio"
"96","Biodiversity value and the optimal location of forest conservation sites in Southern Finland","Riitta Hänninen","Finnish Forest Research Institute,","Finland","Europe","Europe","Finland",2008,"Ecological Economics","Economics","Economics","Yes","Cost_eff","Constraint","General",NA,"Habitat quality indices","Indirectly","Functional","Population","Evolution of services and functions","Habitat",NA,"Multiple species (explicit)","Multiple","Forest",0,"0","0","Empirical","Dynamic","Numerical","Ecological implicit and economic explicit","Implicit","Explicit","Normative",NA,"Ecology (full, zoology, fisheries and wildlife, forestry)","Ok","Conservation","Conservation","Population dynamics","No","No","Park_reserve","Common",74,"hänninen"
"97","Biodiversity value and the optimal location of forest conservation sites in Southern Finland","Nina Vainikainen","Finnish Forest Research Institute,","Finland","Europe","Europe","Finland",2008,"Ecological Economics","Economics","Economics","Yes","Cost_eff","Constraint","General",NA,"Habitat quality indices","Indirectly","Functional","Population","Evolution of services and functions","Habitat",NA,"Multiple species (explicit)","Multiple","Forest",0,"0","0","Empirical","Dynamic","Numerical","Ecological implicit and economic explicit","Implicit","Explicit","Normative",NA,"Ecology (full, zoology, fisheries and wildlife, forestry)","Ok","Conservation","Conservation","Population dynamics","No","No","Park_reserve","Common",75,"vainikainen"
"98","Biodiversity value and the optimal location of forest conservation sites in Southern Finland","Sandra Luque","Cemagref, Institute for Agricultural and Environmental Engineering Research","France","Europe","Europe","Finland",2008,"Ecological Economics","Economics","Economics","Yes","Cost_eff","Constraint","General",NA,"Habitat quality indices","Indirectly","Functional","Population","Evolution of services and functions","Habitat",NA,"Multiple species (explicit)","Multiple","Forest",0,"0","0","Empirical","Dynamic","Numerical","Ecological implicit and economic explicit","Implicit","Explicit","Normative",NA,"Ecology (full, zoology, fisheries and wildlife, forestry)","Ok","Conservation","Conservation","Population dynamics","No","No","Park_reserve","Common",76,"luque"
"99","Smart spatial incentives for market-based conservation","Florian Hartig","UFZ Helmoltz, Leipzig","Germany","Europe","Europe","Germany",2008,"Biological Conservation","Ecology","Ecology","No","Cost_eff","Constraint","Partial",NA,NA,"Directly","Functional","Population","Evolution of structure","No",NA,NA,"Multiple","Not specified",0,"0","0","Empirical","Dynamic","Numerical","Ecological explicit and economic implicit","Explicit","Implicit","Normative",NA,"Ecology and Economics","Ok","Conservation","Conservation","Population dynamics","Yes","No","Park_reserve","remarkable_endangered",77,"hartig"
"100","Smart spatial incentives for market-based conservation","Martin Drechsler","UFZ Helmoltz, Leipzig","Germany","Europe","Europe","Germany",2008,"Biological Conservation","Ecology","Ecology","No","Cost_eff","Constraint","Partial",NA,NA,"Directly","Functional","Population","Evolution of structure","No",NA,NA,"Multiple","Not specified",0,"0","0","Empirical","Dynamic","Numerical","Ecological explicit and economic implicit","Explicit","Implicit","Normative",NA,"Ecology and Economics","Ok","Conservation","Conservation","Population dynamics","Yes","No","Park_reserve","remarkable_endangered",3,"drechsler"
"101","Spatial patterns of biodiversity conservation in a multiregional general equilibrium model","Florian Eppink","Helmholtz Centre for Environmental Research, Department of Economics and Institute for Environmental Studies, VU University Amsterdam","Netherlands","Europe","Europe","Netherlands",2009,"Resource and Energy Economics","Economics","Economics","No","Cost_eff","Objective","General",NA,"Function of the number of species and habitat availability","Indirectly","Functional","Species","Evolution of structure","Habitat",NA,"Multiple species (rhetorical)","Multiple","Not specified",0,"0","0","Theoretical","Static","Closed form","Ecological explicit and economic explicit","Explicit","Explicit","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Conservation","Conservation","Population dynamics","No","No","Multiple : agriculture and reserve","Common",4,"eppink"
"102","Spatial patterns of biodiversity conservation in a multiregional general equilibrium model","Cees A. Withagen","Department of Spatial Economics, VU University Amsterdam and Department of Economics, Tilburg University","Netherlands","Europe","Europe","Netherlands",2009,"Resource and Energy Economics","Economics","Economics","No","Cost_eff","Objective","General",NA,"Function of the number of species and habitat availability","Indirectly","Functional","Species","Evolution of structure","Habitat",NA,"Multiple species (rhetorical)","Multiple","Not specified",0,"0","0","Theoretical","Static","Closed form","Ecological explicit and economic explicit","Explicit","Explicit","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Conservation","Conservation","Population dynamics","No","No","Multiple : agriculture and reserve","Common",78,"withagen"
"103","Applying tradable permits to biodiversity conservation: Effects of space-dependent conservation benefits and cost heterogeneity on habitat allocation","Martin Drechsler","Department of Ecological Modelling, Helmholtz-Centre for Environmental Research—UFZ, Permoserstr. 15, 04318 Leipzig","Germany","Europe","Europe","Germany",2009,"Ecological Economics","Economics","Economics","Yes","Cost_eff","Objective","Partial",NA,NA,"Indirectly","Functional","Population","Evolution of structure","Habitat",NA,NA,"Single","Not specified",0,"0","0","Theoretical","Dynamic","Numerical","Ecological explicit and economic explicit","Explicit","Explicit","Normative",NA,"Ecology and Economics","Ok","Conservation","Conservation","Population dynamics","No","Yes","Park_reserve","Common",3,"drechsler"
"104","Applying tradable permits to biodiversity conservation: Effects of space-dependent conservation benefits and cost heterogeneity on habitat allocation","Frank Wätzold","Department of Economics, Helmholtz-Centre for Environmental Research—UFZ, Permoserstr. 15, 04318 Leipzig","Germany","Europe","Europe","Germany",2009,"Ecological Economics","Economics","Economics","Yes","Cost_eff","Objective","Partial",NA,NA,"Indirectly","Functional","Population","Evolution of structure","Habitat",NA,NA,"Single","Not specified",0,"0","0","Theoretical","Dynamic","Numerical","Ecological explicit and economic explicit","Explicit","Explicit","Normative",NA,"Ecology and Economics","Ok","Conservation","Conservation","Population dynamics","No","Yes","Park_reserve","Common",5,"wätzold"
"105","Integrating biodiversity indices into a multiple species optimal control model","Christine Bertram","Kiel Institute for The World Economy","Germany","Europe","Europe","Germany",2010,"Kiel Working Papers","Economics","Economics","No","Cost_eff","Objective","Partial",NA,"species evenness and species richness combined into an index","Indirectly","Functional","Community","Evolution of structure","Habitat",NA,NA,"Multiple","Not specified",0,"0","0","Theoretical","Dynamic","Closed form","Ecological absent and economic absent","Absent","Absent","Normative",NA,"Economics (full, applied, agricultural, environmental, ecological)","Ok","Ecosystem","Ecosystem","Population dynamics","No","No","Not applicable","Not applicable",79,"bertram"
"106","Cost-effective species conservation in exurban communities: A spatial analysis","Dana Marie Bauer","Department of Geography and Environment, Boston University","USA","North America","North America","USA",2010,"Resource and Energy Economics","Economics","Economics","No","Cost_eff","Constraint","Partial",NA,"long-term metapopulation capacity of the target","Directly","Functional","Population","Evolution of structure","No",NA,NA,"Single","Animal - Amphibia - Urodela - Pond breeding salamander",0,"0","0","Empirical","Static","Numerical","Ecological explicit and economic absent","Explicit","Absent","Normative",NA,"Other (Geography, Policy and Management)","Ok","Conservation","Conservation","Population dynamics","Yes","No","Urban","remarkable_endangered",80,"bauer"
"107","Cost-effective species conservation in exurban communities: A spatial analysis","Stephen K. Swallow","Department of Environmental and Natural Resource Economics, University of Rhode Island","USA","North America",NA,NA,2010,"Resource and Energy Economics","Economics","Economics","No","Cost_eff","Constraint","Partial",NA,"long-term metapopulation capacity of the target","Directly","Functional","Population","Evolution of structure","No",NA,NA,"Single","Animal - Amphibia - Urodela - Pond breeding salamander",0,"0","0","Empirical","Static","Numerical","Ecological explicit and economic absent","Explicit","Absent","Normative",NA,"Other (Geography, Policy and Management)","Ok","Conservation","Conservation","Population dynamics","Yes","No","Urban","remarkable_endangered",81,"swallow"
"108","Cost-effective species conservation in exurban communities: A spatial analysis","Peter W.C. Paton","Department of Natural Resources Science, University of Rhode Island","USA","North America",NA,NA,2010,"Resource and Energy Economics","Economics","Economics","No","Cost_eff","Constraint","Partial",NA,"long-term metapopulation capacity of the target","Directly","Functional","Population","Evolution of structure","No",NA,NA,"Single","Animal - Amphibia - Urodela - Pond breeding salamander",0,"0","0","Empirical","Static","Numerical","Ecological explicit and economic absent","Explicit","Absent","Normative",NA,"Other (Geography, Policy and Management)","Ok","Conservation","Conservation","Population dynamics","Yes","No","Urban","remarkable_endangered",82,"paton"
"109","Cost-effective strategies to conserve boreal forest biodiversity and long-term landscape-level maintenance of habitats","Mikko Mönkkönen","Department of Biological and Environmental Sciences, University of Jyväskylä","Finland","Europe","Europe","Finland",2010,"European Journal of Forest Research","Ecology","Forestry","No","Cost_eff","Output","Partial",NA,"Habitat suitability scores","Indirectly","Functional","Population","Evolution of species","Habitat",NA,NA,"Multiple","Fungi & Animal - Arthropoda - Insecta",0,"0","0","Empirical","Dynamic","Numerical","Ecological implicit and economic absent","Implicit","Absent","Normative",NA,"Sustainable sciences (environmental science, engineering)","Ok","Conservation","Conservation","Population dynamics","No","No","Forest","remarkable_endangered",83,"mönkkönen"
"110","Cost-effective strategies to conserve boreal forest biodiversity and long-term landscape-level maintenance of habitats","Artti Juutinen","Department of Economics, University of Oulu & Thule Institute, University of Oulu & Finnish Forest Research Institute","Finland","Europe",NA,NA,2010,"European Journal of Forest Research","Ecology","Forestry","No","Cost_eff","Output","Partial",NA,"Habitat suitability scores","Indirectly","Functional","Population","Evolution of species","Habitat",NA,NA,"Multiple","Fungi & Animal - Arthropoda - Insecta",0,"0","0","Empirical","Dynamic","Numerical","Ecological implicit and economic absent","Implicit","Absent","Normative",NA,"Sustainable sciences (environmental science, engineering)","Ok","Conservation","Conservation","Population dynamics","No","No","Forest","remarkable_endangered",68,"juutinen"
"111","Cost-effective strategies to conserve boreal forest biodiversity and long-term landscape-level maintenance of habitats","Olli-Pekka Tikkanen","School of Forest Sciences, University of Eastern Finland-Joensuu","Finland","Europe",NA,NA,2010,"European Journal of Forest Research","Ecology","Forestry","No","Cost_eff","Output","Partial",NA,"Habitat suitability scores","Indirectly","Functional","Population","Evolution of species","Habitat",NA,NA,"Multiple","Fungi & Animal - Arthropoda - Insecta",0,"0","0","Empirical","Dynamic","Numerical","Ecological implicit and economic absent","Implicit","Absent","Normative",NA,"Sustainable sciences (environmental science, engineering)","Ok","Conservation","Conservation","Population dynamics","No","No","Forest","remarkable_endangered",84,"tikkanen"
"112","Cost-effective strategies to conserve boreal forest biodiversity and long-term landscape-level maintenance of habitats","Jari Kouki","School of Forest Sciences, University of Eastern Finland-Joensuu,","Finland","Europe",NA,NA,2010,"European Journal of Forest Research","Ecology","Forestry","No","Cost_eff","Output","Partial",NA,"Habitat suitability scores","Indirectly","Functional","Population","Evolution of species","Habitat",NA,NA,"Multiple","Fungi & Animal - Arthropoda - Insecta",0,"0","0","Empirical","Dynamic","Numerical","Ecological implicit and economic absent","Implicit","Absent","Normative",NA,"Sustainable sciences (environmental science, engineering)","Ok","Conservation","Conservation","Population dynamics","No","No","Forest","remarkable_endangered",85,"kouki"
